url,NR_score,GHG_4G_Footprint,GHG_WiFi_Footprint,Water_Footprint,Complexity,load_average,Pass_band
https://www.wikidata.org/wiki/Q312548,31.5,1.47,0.37,0.56,3584,16,2873
https://www.wikidata.org/wiki/Q312549,30.8,1.59,0.4,0.59,5732,18,3109
